City,Date,PM2.5,PM10,NO,NO2,CO,SO2,O3,AQI,AQI_Bucket
Ahmedabad,2015-07-12,86.57,122.41,11.47,0.17,11.47,11.09,6.53,300.0,Poor
Ahmedabad,2015-07-13,111.77,122.41,11.3,0.24,11.3,7.73,4.67,232.0,Poor
Ahmedabad,2015-07-15,51.35,122.41,8.0,2.69,8.0,10.0,5.76,223.0,Poor
Ahmedabad,2015-08-20,38.5,122.41,12.38,19.67,12.38,10.37,16.33,274.0,Poor
Ahmedabad,2015-09-10,50.24,122.41,9.46,12.31,9.46,11.63,13.61,226.0,Poor
Ahmedabad,2015-09-11,61.77,122.41,8.68,15.43,8.68,8.1,18.69,276.0,Poor
Ahmedabad,2015-09-12,46.93,122.41,7.14,11.47,7.14,7.92,19.03,209.0,Poor
Ahmedabad,2015-09-15,44.94,122.41,7.14,10.94,7.14,5.85,59.38,229.0,Poor
Ahmedabad,2015-09-19,24.46,122.41,8.45,10.99,8.45,12.59,44.55,220.0,Poor
Ahmedabad,2015-09-22,59.29,122.41,9.21,9.68,9.21,5.98,7.69,217.0,Poor
Ahmedabad,2015-09-23,65.32,122.41,10.61,9.62,10.61,3.69,4.74,254.0,Poor
Ahmedabad,2015-09-24,47.39,122.41,9.26,10.48,9.26,7.72,7.71,241.0,Poor
Ahmedabad,2015-09-25,43.88,122.41,8.69,19.75,8.69,4.83,11.53,244.0,Poor
Ahmedabad,2015-09-26,28.35,122.41,9.05,13.62,9.05,7.47,15.95,243.0,Poor
